repo,category,subcat,stars,star_1d,star_1d_pct,star_7d,star_7d_pct,forks,description,top_devs,contributors,created_at,updated_at,downloads*
Shaunwei/RealChar,AI engineering,AI interface,5955,0,0.00%,3,0.05%,728,"🎙️🤖Create, Customize and Talk to your AI Character/Companion in Realtime (All in One Codebase!). Have a natural seamless conversation with AI everywhere (mobile, web and terminal) using LLM OpenAI GPT3.5/4, Anthropic Claude2, Chroma Vector DB, Whisper Speech2Text, ElevenLabs Text2Speech🎙️🤖","pycui, Shaunwei, lynchee-owo",36,2023-06-26,2024-02-03,0
nebuly-ai/nebuly,Infrastructure,Monitoring,8373,0,0.00%,4,0.05%,643,A collection of libraries to optimise AI model performances,"valeriosofi, francis-oss, diegofiori",25,2022-02-12,2024-07-21,0
openai/point-e,Model repo,,6461,0,0.00%,3,0.05%,748,Point cloud diffusion for 3D model synthesis,"unixpickle, heewooj",2,2022-12-06,2022-12-20,0
tatsu-lab/stanford_alpaca,Model repo,,29329,0,0.00%,13,0.04%,4026,"Code and documentation to train Stanford's Alpaca models, and generate the data.","lxuechen, rtaori, YannDubs",5,2023-03-10,2023-04-16,0
ymcui/Chinese-LLaMA-Alpaca-2,Model repo,Multilingual,7046,0,0.00%,3,0.04%,577,中文LLaMA-2 & Alpaca-2大模型二期项目 + 64K超长上下文模型 (Chinese LLaMA-2 & Alpaca-2 LLMs with 64K long context models),"ymcui, iMountTai, airaria",8,2023-07-18,2023-12-27,0
Jittor/JittorLLMs,Model development,Inference optimization,2349,0,0.00%,1,0.04%,180,计图大模型推理库，具有高性能、配置要求低、中文支持好、可移植等特点,"cjld, lzhengning, zjp-shadow",6,2023-04-02,2023-04-02,0
microsoft/prompt-engine,AI engineering,Prompt engineering,2540,0,0.00%,1,0.04%,105,A library for helping developers craft prompts for Large Language Models,"abhimasand, ryanvolum, microsoftopensource",5,2022-06-17,2022-10-12,0
google-deepmind/graph_nets,Model development,Modeling & training,5342,0,0.00%,2,0.04%,782,Build Graph Nets in Tensorflow,"alvarosg, pbattaglia, msamogh",11,2018-08-31,2022-12-12,0
eureka-research/Eureka,Model development,Modeling & training,2778,0,0.00%,1,0.04%,249,"Official Repository for ""Eureka: Human-Level Reward Design via Coding Large Language Models"" (ICLR 2024)",JasonMa2016,1,2023-09-25,1000-01-01,0
facebookresearch/metaseq,Model development,Modeling & training,6447,0,0.00%,2,0.03%,723,Repo for external large-scale work,"suchenzang, stephenroller, punitkoura",52,2022-05-02,2023-08-04,0
google-deepmind/sonnet,Model development,Modeling & training,9746,0,0.00%,3,0.03%,1292,TensorFlow-based neural network library,"tomhennigan, malcolmreynolds, diegolascasas",54,2017-04-03,2024-04-08,0
deeppavlov/DeepPavlov,AI engineering,AIE framework,6651,0,0.00%,2,0.03%,1142,An open source library for deep learning end-to-end dialog systems and chatbots.,"dilyararimovna, yoptar, my-master",70,2017-11-17,2024-08-12,0
Vision-CAIR/MiniGPT-4,Model repo,Multimodal,25283,0,0.00%,4,0.02%,2902,"Open-sourced codes for MiniGPT-4 and MiniGPT-v2 (https://minigpt-4.github.io, https://minigpt-v2.github.io/)","junchen14, TsuTikgiau, xiaoqian-shen",13,2023-04-15,2023-11-01,0
sweepai/sweep,Applications,Coding,7376,0,0.00%,1,0.01%,419,Sweep: open-source AI-powered Software Developer for small features and bug fixes.,"kevinlu1248, wwzeng1, lukejagg",34,2023-06-14,2024-08-16,74
openai/DALL-E,Model repo,Multimodal,10775,0,0.00%,1,0.01%,1937,PyTorch package for the discrete VAE used for DALL·E.,adityaramesh,1,2021-02-23,1000-01-01,0
wenge-research/YAYI2,Model repo,Multilingual,3607,0,0.00%,0,0.00%,17,YAYI 2 是中科闻歌研发的新一代开源大语言模型，采用了超过 2 万亿 Tokens 的高质量、多语言语料进行预训练。(Repo for YaYi 2 Chinese LLMs),wenge-research,1,2023-12-15,1000-01-01,0
wenge-research/YaYi,Model repo,Multilingual,3250,0,0.00%,0,0.00%,44,雅意大模型：为客户打造安全可靠的专属大模型，基于大规模中英文多领域指令数据训练的 LlaMA 2 & BLOOM 系列模型，由中科闻歌算法团队研发。(Repo for YaYi Chinese LLMs based on LlaMA2 & BLOOM),wenge-research,1,2023-05-24,1000-01-01,0
OpenGVLab/InternGPT,AI engineering,AI interface,3189,0,0.00%,0,0.00%,231,"InternGPT (iGPT) is an open source demo platform where you can easily showcase your AI models. Now it supports DragGAN, ChatGPT, ImageBind, multimodal chat like GPT-4, SAM, interactive image editing, etc. Try it at igpt.opengvlab.com (支持DragGAN、ChatGPT、ImageBind、SAM的在线Demo系统)","liu-zhy, whai362, Zeqiang-Lai",12,2023-05-08,2023-11-24,0
openai/weak-to-strong,Model development,Modeling & training,2483,0,0.00%,0,0.00%,300,,"WuTheFWasThat, AdrienLE, srivhash",10,2023-12-13,2024-01-23,0
madawei2699/myGPTReader,Applications,Info aggregation,4423,0,0.00%,0,0.00%,449,A community-driven way to read and chat with AI bots - powered by chatGPT.,"madawei2699, lycfyi, ImgBotApp",8,2023-03-08,2024-04-24,0
qwopqwop200/GPTQ-for-LLaMa,Model development,Inference optimization,2975,0,0.00%,0,0.00%,457,4 bits quantization of LLaMA using GPTQ,"qwopqwop200, tpoisonooo, MasterTaffer",26,2023-03-06,2023-06-23,0
higgsfield-ai/higgsfield,Infrastructure,Compute management,3284,0,0.00%,0,0.00%,555,"Fault-tolerant, highly scalable GPU orchestration, and a machine learning framework designed for training models with billions to trillions of parameters","arpanetus, higgsfield, zxcjhg",4,2018-05-26,2024-03-23,0
baidu-research/warp-ctc,Model development,Modeling & training,4064,0,0.00%,0,0.00%,1043,Fast parallel CTC.,"ekelsen, jaredcasper, gangliao",20,2016-01-14,2016-01-14,0
alembics/disco-diffusion,Model repo,,7465,0,0.00%,0,0.00%,1129,,"aletts, MSFTserver, somnai-dreams",13,2022-02-24,2023-02-11,0
Facico/Chinese-Vicuna,Model repo,Multilingual,4140,0,0.00%,-1,-0.02%,422,Chinese-Vicuna: A Chinese Instruction-following LLaMA-based Model —— 一个中文低资源的llama+lora方案，结构参考alpaca,"Facico, LZY-the-boys, Chuge0335",7,2023-03-23,2023-11-09,0
openlm-research/open_llama,Model repo,,7337,0,0.00%,-2,-0.03%,372,"OpenLLaMA, a permissively licensed open source reproduction of Meta AI’s LLaMA 7B trained on the RedPajama dataset","young-geng, mjul",2,2023-04-28,2023-05-04,0
muellerberndt/mini-agi,AI engineering,Agent,2792,0,0.00%,-1,-0.04%,291,MiniAGI is a simple general-purpose autonomous agent based on the OpenAI API.,"muellerberndt, alaeddine-13, ismaelc",12,2023-04-14,2023-05-05,0
OpenGVLab/DragGAN,Model repo,Multimodal,4994,0,0.00%,-2,-0.04%,490,"Unofficial Implementation of DragGAN - ""Drag Your GAN: Interactive Point-based Manipulation on the Generative Image Manifold"" （DragGAN 全功能实现，在线Demo，本地部署试用，代码、模型已全部开源，支持Windows, macOS, Linux）","Zeqiang-Lai, egorbajdarov, egbaydarov",11,2023-05-20,2023-07-02,0
llSourcell/Doctor-Dignity,Model repo,,3837,0,0.00%,-3,-0.08%,404,"Doctor Dignity is an LLM that can pass the US Medical Licensing Exam. It works offline, it's cross-platform, & your health data stays private.","MasterJH5574, yzh119, tqchen",56,2023-08-06,2023-09-20,0
RootbeerComputer/backend-GPT,Applications,Coding,2948,0,0.00%,-3,-0.10%,230,,"evanmays, TheAppleTucker, Teddy55Codes",4,2023-01-21,2023-02-04,0
howl-anderson/unlocking-the-power-of-llms,Tutorials,,2499,0,0.00%,-4,-0.16%,161,使用 Prompts 和 Chains 让 ChatGPT 成为神奇的生产力工具！Unlocking the power of LLMs.,howl-anderson,1,2023-02-16,1000-01-01,0
di-sukharev/opencommit,Applications,Coding,5881,-1,-0.02%,58,0.99%,310,Generate conventional git commit messages with AI in 1 second 🤯🔫,"di-sukharev, matscube, JMN09",70,2023-03-06,2024-09-06,0
togethercomputer/moa,AI engineering,Agent,2521,-1,-0.04%,14,0.56%,347,Together Mixture-Of-Agents (MoA) –  65.1% on AlpacaEval with OSS models,"Nutlope, LorrinWWW, IsThatYou",5,2024-06-04,2024-07-16,0
Skyvern-AI/skyvern,Applications,Workflow automation,5747,-1,-0.02%,25,0.44%,417,Automate browser-based workflows with LLMs and Computer Vision,"ykeremy, LawyZheng, wintonzheng",17,2024-02-28,2024-09-12,0
steven2358/awesome-generative-ai,Lists,,5555,-1,-0.02%,19,0.34%,613,A curated list of modern Generative Artificial Intelligence projects and services,"steven2358, sonoroboto, engineer-taro",49,2022-10-20,2024-08-21,0
1rgs/jsonformer,AI engineering,Prompt engineering,4357,-1,-0.02%,14,0.32%,153,A Bulletproof Way to Generate Structured JSON from Language Models,"1rgs, danielcorin, ishmandoo",6,2023-04-29,2023-05-30,0
AbanteAI/mentat,Applications,Coding,2499,-1,-0.04%,8,0.32%,230,Mentat - The AI Coding Assistant ,"PCSwingle, jakethekoenig, biobootloader",20,2023-07-25,2024-03-26,0
huggingface/candle,Model development,Modeling & training,15050,-1,-0.01%,47,0.31%,878,Minimalist ML framework for Rust,"LaurentMazare, Narsil, ivarflakstad",100+,2023-06-19,2024-09-11,0
Trusted-AI/adversarial-robustness-toolbox,AI engineering,Evals,4753,-1,-0.02%,13,0.27%,1150,"Adversarial Robustness Toolbox (ART) - Python Library for Machine Learning Security - Evasion, Poisoning, Extraction, Inference - Red and Blue Teams","beat-buesser, minhitbk, killianlevacher",100+,2018-03-15,2024-08-29,0
facebookresearch/fairscale,Model development,Modeling & training,3142,-1,-0.03%,7,0.22%,274,PyTorch extensions for high performance and large scale training.,"blefaudeux, min-xu-ai, msbaines",68,2020-07-07,2024-06-10,0
arsenetar/dupeguru,AI engineering,Dataset engineering,5242,-1,-0.02%,11,0.21%,412,Find duplicate files,"arsenetar, glubsy, jpvlsmv",29,2013-06-22,2024-08-23,1404528
open-mmlab/mmpretrain,Model development,Modeling & training,3374,-1,-0.03%,7,0.21%,1051,OpenMMLab Pre-training Toolbox and Benchmark,"mzr1996, Ezra-Yu, LXXXXR",100+,2020-07-09,2023-09-04,0
mshumer/gpt-prompt-engineer,AI engineering,Prompt engineering,9289,-1,-0.01%,18,0.19%,642,,"mshumer, vrushankportkey, alexfazio",7,2023-07-04,2024-04-12,0
TransformerOptimus/SuperAGI,AI engineering,Agent,15244,-1,-0.01%,28,0.18%,1828,"<⚡️> SuperAGI - A dev-first open source autonomous AI agent framework. Enabling developers to build, manage & run useful autonomous agents quickly and reliably.","NishantBorthakur, Fluder-Paradyne, luciferlinx101",59,2023-05-13,2023-05-22,0
mshumer/gpt-llm-trainer,Model development,Dataset engineering,3910,-1,-0.03%,7,0.18%,503,,mshumer,1,2023-08-09,1000-01-01,0
EleutherAI/gpt-neox,Model development,Modeling & training,6807,-1,-0.01%,12,0.18%,988,"An implementation of model parallel autoregressive transformers on GPUs, based on the Megatron and DeepSpeed libraries","StellaAthena, sdtblck, joshlk",96,2020-12-22,2024-09-11,0
BlinkDL/ChatRWKV,Applications,Bots,9382,-1,-0.01%,16,0.17%,686,"ChatRWKV is like ChatGPT but powered by RWKV (100% RNN) language model, and open source.","www, BlinkDL, daquexian",17,2023-01-13,2023-11-03,0
TheLastBen/fast-stable-diffusion,Applications,Image production,7481,-1,-0.01%,11,0.15%,1301,fast-stable-diffusion + DreamBooth,"TheLastBen, Maw-Fox, daswer123",19,2022-09-21,2023-04-13,0
xtekky/chatgpt-clone,Applications,Bots,3443,-1,-0.03%,5,0.15%,1025,ChatGPT interface with better UI ,"xtekky, mushonnip, Jerry-523",24,2023-04-18,2024-05-22,0
bigscience-workshop/petals,Model development,Inference optimization,9065,-1,-0.01%,13,0.14%,505,"🌸 Run LLMs at home, BitTorrent-style. Fine-tuning and inference up to 10x faster than offloading","borzunov, justheuristic, dbaranchuk",17,2022-06-12,2024-08-25,0
memochou1993/gpt-ai-assistant,Applications,Bots,7250,-1,-0.01%,10,0.14%,9360,OpenAI + LINE + Vercel = GPT AI Assistant,"memochou1993, Jakevin, cdcd72",6,2022-12-09,2024-07-09,0
stitionai/devika,Applications,Coding,18244,-1,-0.01%,25,0.14%,2369,"Devika is an Agentic AI Software Engineer that can understand high-level human instructions, break them down into steps, research relevant information, and write code to achieve the given objective. Devika aims to be a competitive open-source alternative to Devin by Cognition AI.","mufeedvh, ARajgor, nalaso",45,2024-03-21,2024-08-28,0
lucidrains/musiclm-pytorch,Model repo,Multimodal,3119,-1,-0.03%,4,0.13%,252,"Implementation of MusicLM, Google's new SOTA model for music generation using attention networks, in Pytorch",lucidrains,1,2023-01-27,2023-03-31,0
facebookresearch/llama,Model repo,,55418,-1,-0.00%,63,0.11%,9455,Inference code for Llama models,"jspisak, ruanslv, sekyondaMeta",48,2023-02-14,2024-07-23,0
google-research/multinerf,Model repo,,3603,-1,-0.03%,4,0.11%,341,"A Code Release for Mip-NeRF 360, Ref-NeRF, and RawNeRF","jonbarron, Sarasra, bmild",8,2022-07-22,2023-08-29,0
linyiLYi/street-fighter-ai,Applications,Bots,6307,-1,-0.02%,7,0.11%,1359,This is an AI agent for Street Fighter II Champion Edition.,"linyiLYi, kianmeng, arch-fan",3,2023-03-27,2023-04-21,0
salesforce/CodeT5,Model repo,,2707,-1,-0.04%,3,0.11%,397,Home of CodeT5: Open Code LLMs for Code Understanding and Generation,"yuewang-cuhk, svc-scm",2,2021-08-16,1000-01-01,0
google/gemma.cpp,Model development,Inference optimization,5901,-1,-0.02%,6,0.10%,500,"lightweight, standalone C++ inference engine for Google's Gemma models.","jan-wassenberg, austinvhuang, szabadka",30,2024-02-13,2024-09-10,0
neuralmagic/deepsparse,Infrastructure,Serving,2971,-1,-0.03%,3,0.10%,171,Sparsity-aware deep learning inference runtime for CPUs,"mgoin, bfineran, dbogunowicz",40,2020-12-14,2024-07-19,1634
openchatai/OpenChat,Applications,Workflow automation,5147,-1,-0.02%,5,0.10%,642,LLMs custom-chatbots console ⚡,"lvalics, codebanesr, gharbat",13,2023-05-30,2024-02-22,0
CarperAI/trlx,Model development,Modeling & training,4441,-1,-0.02%,4,0.09%,469,A repo for distributed training of language models with Reinforcement Learning via Human Feedback (RLHF),"maxreciprocate, jon-tow, Dahoas",51,2022-10-03,2024-01-08,0
apple/ml-stable-diffusion,Model repo,,16667,-1,-0.01%,15,0.09%,923,Stable Diffusion with Core ML on Apple Silicon,"atiorh, pcuenca, TobyRoseman",34,2022-11-16,2024-08-28,0
BloopAI/bloop,Applications,Coding,9395,-1,-0.01%,8,0.09%,566,bloop is a fast code search engine written in Rust.,"anastasiya1155, ggordonhall, rsdy",27,2022-12-10,2024-05-23,41678
ohmplatform/FreedomGPT,Applications,Bots,2591,-1,-0.04%,2,0.08%,350,This codebase is for a React and Electron-based app that executes the FreedomGPT LLM locally (offline and private) on Mac and Windows using a chat-based interface,"holdenchristiansen, bhattaraijay05",2,2023-03-21,2023-05-05,404793
AIGC-Audio/AudioGPT,Model repo,,9965,-1,-0.01%,7,0.07%,855,"AudioGPT: Understanding and Generating Speech, Music, Sound, and Talking Head","lmzjms, Rongjiehuang, PeppaPiggeee",11,2023-03-16,2023-05-05,0
santinic/how2,Applications,Coding,5716,-1,-0.02%,4,0.07%,156,AI for the Command Line,"santinic, PaoloCifariello, danyshaanan",13,2016-02-13,2022-09-01,1596
daveshap/OpenAI_Agent_Swarm,Applications,Workflow automation,2962,-1,-0.03%,2,0.07%,382,"HAAS = Hierarchical Autonomous Agent Swarm - ""Resistance is futile!""","daveshap, guillermo-delrio, OWigginsHay",18,2023-11-07,2023-12-07,0
deep-diver/LLM-As-Chatbot,Applications,Bots,3277,-1,-0.03%,2,0.06%,381,LLM as a Chatbot Service,"deep-diver, peterschmidt85, ErivanDev",7,2023-02-27,2023-07-26,0
nat/openplayground,AI engineering,AI interface,6209,-1,-0.02%,3,0.05%,480,An LLM playground you can run on your laptop,"AlexanderLourenco, nat, max",16,2023-02-26,2023-05-18,0
trigaten/Learn_Prompting,Tutorials,,4257,-1,-0.02%,2,0.05%,633,"Prompt Engineering, Generative AI, and LLM Guide by Learn Prompting | Join our discord for the largest Prompt Engineering learning community","trigaten, wahub-ahmed, khanartist47",100+,2022-10-25,2024-03-15,0
ludwig-ai/ludwig,AI engineering,AIE framework,11083,-1,-0.01%,5,0.05%,1186,"Low-code framework for building custom LLMs, neural networks, and other AI models","w4nderlust, jimthompson5802, tgaddair",100+,2018-12-27,2024-08-21,0
google-deepmind/lab,Model development,Modeling & training,7091,-1,-0.01%,3,0.04%,1365,A customisable 3D platform for agent-based AI research,"tkoeppe, charlesbeattie, decster",7,2016-11-30,2023-01-04,0
mayooear/gpt4-pdf-chatbot-langchain,Applications,Info aggregation,14837,-1,-0.01%,5,0.03%,3009,GPT4 & LangChain Chatbot for large PDF docs,"mayooear, jacoblee93, ankri",3,2023-03-17,2023-11-13,0
vincelwt/chatgpt-mac,Applications,Bots,6378,-1,-0.02%,2,0.03%,510,"ChatGPT for Mac, living in your menubar.","vincelwt, francip, samasante",4,2022-12-01,2022-12-12,333744
llm-workflow-engine/llm-workflow-engine,AI engineering,AIE framework,3633,-1,-0.03%,1,0.03%,473,Power CLI and Workflow manager for LLMs (core package),"thehunmonkgroup, mmabrouk, Tecuya",25,2022-12-03,2024-01-17,0
anse-app/chatgpt-demo,Applications,Bots,8003,-1,-0.01%,2,0.02%,3822,Minimal web UI for ChatGPT. ,"ddiu8081, yzh990918, Robin021",38,2023-03-02,2023-11-20,0
mosaicml/composer,Model development,Modeling & training,5114,-1,-0.02%,1,0.02%,413,Supercharge Your Model Training,"mvpatel2000, ravi-mosaicml, dakinggg",100+,2021-10-12,2024-09-11,0
ztxz16/fastllm,Model development,Inference optimization,3277,-1,-0.03%,0,0.00%,332,"纯c++的全平台llm加速库，支持python调用，chatglm-6B级模型单卡可达10000+token / s，支持glm, llama, moss基座，手机端流畅运行","ztxz16, wildkid1024, TylunasLi",38,2023-05-13,2024-08-02,0
lucidrains/PaLM-rlhf-pytorch,Model repo,,7671,-1,-0.01%,0,0.00%,668,Implementation of RLHF (Reinforcement Learning with Human Feedback) on top of the PaLM architecture. Basically ChatGPT but with PaLM,"lucidrains, conceptofmind, ell-hol",5,2022-12-09,2023-03-17,0
openai/plugins-quickstart,AI engineering,AI interface,4247,-1,-0.02%,0,0.00%,739,Get a ChatGPT plugin up and running in under 5 minutes!,"logankilpatrick, joedevon",2,2023-04-06,2023-06-05,0
shreyashankar/gpt3-sandbox,AI engineering,Prompt engineering,2900,-1,-0.03%,0,0.00%,884,The goal of this project is to enable users to create cool web demos using the newly released OpenAI GPT-3 API with just a few lines of Python.,"shreyashankar, buyumaz, bora-uyumazturk",13,2020-07-19,2023-02-24,0
wong2/chatgpt-google-extension,Applications,Bots,13258,-1,-0.01%,0,0.00%,1493,This project is deprecated. Check my new project ChatHub:,"wong2, josStorer, hookzof",16,2022-12-04,2023-02-13,0
run-llama/llama-hub,Infrastructure,Data management,3437,-1,-0.03%,-1,-0.03%,731,A library of data loaders for LLMs made by the community -- to be used with LlamaIndex and/or LangChain,"jerryjliu, emptycrown, nerdai",100+,2023-02-01,2024-02-13,0
